"자전거번호","등록일시","고장구분","등록날짜","자전거","년도","일자"
"SPB-11531","2018-10-17 16:40","안장","2018-10-17",11531,2018,290
"SPB-11531","2018-11-01 18:22","안장","2018-11-01",11531,2018,305
"SPB-11558","2018-10-09 17:03","단말기","2018-10-09",11558,2018,282
"SPB-11597","2018-04-17 14:05","단말기","2018-04-17",11597,2018,107
"SPB-11597","2018-05-06 17:58","단말기","2018-05-06",11597,2018,126
"SPB-11714","2018-07-04 22:23","기타 ","2018-07-04",11714,2018,185
"SPB-11714","2018-10-26 19:32","체인","2018-10-26",11714,2018,299
"SPB-11728","2018-05-21 9:10","체인","2018-05-21",11728,2018,141
"SPB-11796","2018-07-14 3:43","페달","2018-07-14",11796,2018,195
"SPB-11807","2018-08-06 22:59","기타 ","2018-08-06",11807,2018,218
"SPB-11966","2018-05-15 11:11","페달","2018-05-15",11966,2018,135
"SPB-12032","2018-06-19 11:33","안장","2018-06-19",12032,2018,170
"SPB-12106","2018-11-12 11:57","기타 ","2018-11-12",12106,2018,316
"SPB-12182","2018-05-26 23:35","안장","2018-05-26",12182,2018,146
"SPB-12182","2018-07-20 13:16","단말기","2018-07-20",12182,2018,201
"SPB-12264","2018-11-07 22:57","체인","2018-11-07",12264,2018,311
"SPB-12398","2018-08-17 23:21","단말기","2018-08-17",12398,2018,229
"SPB-12398","2018-11-17 18:34","체인","2018-11-17",12398,2018,321
"SPB-12502","2018-06-08 0:45","타이어 ","2018-06-08",12502,2018,159
"SPB-12526","2018-08-01 6:07","체인","2018-08-01",12526,2018,213
"SPB-12526","2018-08-09 8:39","기타 ","2018-08-09",12526,2018,221
"SPB-12529","2018-07-08 23:03","체인","2018-07-08",12529,2018,189
"SPB-12543","2018-06-20 21:40","안장","2018-06-20",12543,2018,171
"SPB-12543","2018-08-13 19:37","기타 ","2018-08-13",12543,2018,225
"SPB-12807","2018-07-16 16:32","단말기","2018-07-16",12807,2018,197
"SPB-12807","2018-09-16 21:31","페달","2018-09-16",12807,2018,259
