"자전거번호","등록일시","고장구분","등록날짜","자전거"
"SPB-04620","2019-06-24 22:24","페달","2019-06-24",4620
"SPB-04620","2019-06-30 11:08","체인","2019-06-30",4620
"SPB-04628","2018-10-04 2:05","페달","2018-10-04",4628
"SPB-04628","2018-10-24 21:24","체인","2018-10-24",4628
"SPB-04628","2019-04-04 19:09","기타 ","2019-04-04",4628
"SPB-04668","2019-11-01 17:35","페달","2019-11-01",4668
"SPB-04668","2019-11-06 17:10","타이어 ","2019-11-06",4668
"SPB-04678","2019-06-28 8:01","체인","2019-06-28",4678
"SPB-04678","2019-07-09 0:35","타이어 ","2019-07-09",4678
"SPB-04708","2018-04-21 16:14","기타 ","2018-04-21",4708
"SPB-04708","2018-11-04 20:05","페달","2018-11-04",4708
"SPB-04729","2019-07-09 21:38","타이어 ","2019-07-09",4729
"SPB-04729","2019-09-28 17:43","기타 ","2019-09-28",4729
"SPB-04754","2018-10-03 15:19","체인","2018-10-03",4754
"SPB-04754","2018-10-07 20:56","체인","2018-10-07",4754
"SPB-04840","2019-07-27 15:12","타이어 ","2019-07-27",4840
"SPB-04840","2019-08-27 21:03","타이어 ","2019-08-27",4840
"SPB-04909","2019-09-11 19:35","안장","2019-09-11",4909
"SPB-04909","2019-10-11 7:25","체인","2019-10-11",4909
"SPB-05065","2019-06-29 19:11","기타 ","2019-06-29",5065
"SPB-05065","2019-10-10 15:50","기타 ","2019-10-10",5065
"SPB-05067","2019-08-19 20:12","체인","2019-08-19",5067
"SPB-05067","2019-09-21 9:04","안장","2019-09-21",5067
"SPB-05094","2018-06-18 16:53","페달","2018-06-18",5094
"SPB-05094","2019-07-13 1:19","단말기","2019-07-13",5094
"SPB-05143","2019-07-17 11:37","타이어 ","2019-07-17",5143
"SPB-05143","2019-08-10 12:12","단말기","2019-08-10",5143
"SPB-05143","2019-08-28 23:10","타이어 ","2019-08-28",5143
"SPB-05177","2019-06-10 18:24","단말기","2019-06-10",5177
"SPB-05177","2019-07-06 17:15","타이어 ","2019-07-06",5177
"SPB-05181","2019-10-06 21:43","체인","2019-10-06",5181
"SPB-05181","2019-10-08 17:41","페달","2019-10-08",5181
"SPB-05196","2019-08-17 20:13","타이어 ","2019-08-17",5196
"SPB-05196","2019-09-27 5:46","체인","2019-09-27",5196
"SPB-05266","2018-09-29 15:35","안장","2018-09-29",5266
"SPB-05266","2019-10-22 19:55","안장","2019-10-22",5266
"SPB-05287","2018-07-20 8:51","단말기","2018-07-20",5287
"SPB-05287","2018-09-12 22:46","기타 ","2018-09-12",5287
"SPB-05312","2019-06-28 11:08","체인","2019-06-28",5312
"SPB-05312","2019-09-09 20:18","기타 ","2019-09-09",5312
"SPB-05325","2019-08-19 9:15","안장","2019-08-19",5325
"SPB-05325","2019-08-24 21:29","안장","2019-08-24",5325
"SPB-05346","2019-06-11 8:06","체인","2019-06-11",5346
"SPB-05346","2019-11-14 19:57","페달","2019-11-14",5346
"SPB-05431","2019-10-01 17:14","타이어 ","2019-10-01",5431
"SPB-05431","2019-10-04 21:10","타이어 ","2019-10-04",5431
"SPB-05463","2019-06-17 22:22","체인","2019-06-17",5463
"SPB-05463","2019-07-02 8:21","안장","2019-07-02",5463
"SPB-05469","2018-10-14 22:05","타이어 ","2018-10-14",5469
"SPB-05469","2019-09-25 8:06","단말기","2019-09-25",5469
"SPB-05497","2019-03-18 8:05","단말기","2019-03-18",5497
"SPB-05497","2019-09-11 16:23","체인","2019-09-11",5497
"SPB-05510","2019-08-25 15:24","체인","2019-08-25",5510
"SPB-05510","2019-08-30 13:51","페달","2019-08-30",5510
"SPB-05520","2018-09-27 1:22","페달","2018-09-27",5520
"SPB-05520","2018-09-28 16:03","페달","2018-09-28",5520
"SPB-05585","2018-11-02 18:25","체인","2018-11-02",5585
"SPB-05585","2019-03-24 23:26","체인","2019-03-24",5585
"SPB-05597","2019-07-21 11:58","기타 ","2019-07-21",5597
"SPB-05597","2019-07-30 14:41","기타 ","2019-07-30",5597
