"지점","지점명","일시","평균기온..C.","강수.계속시간.hr.","평균.풍속.m.s.","평균.상대습도...","평균.현지기압.hPa.","합계.일조시간.hr.","일.최심적설.cm.","평균.전운량.1.10.","평균.지면온도..C.","안개.계속시간.hr."
108,"서울","2018-09-16",22.2,14.33,1.7,83.6,1005.4,0,0,10,23.2,0
108,"서울","2018-09-17",22.3,1.83,1.9,64.3,1007,10.8,0,5.3,25.8,0
108,"서울","2018-09-18",22,0,1.2,59.8,1006.6,7.9,0,8.3,25.5,0
108,"서울","2018-09-19",22.1,6.83,1,59.1,1004.1,2.1,0,9.5,24.4,0
108,"서울","2018-09-20",19,10.92,1.8,82.4,1000.7,0,0,10,19.8,0
108,"서울","2018-09-21",19.4,11.83,1.3,85.8,1000.3,0.6,0,9.3,20.8,0
108,"서울","2018-09-22",20.8,1,1.8,62.3,1004.6,10.8,0,2.1,21.1,0
108,"서울","2018-09-23",19.4,1.5,1.6,52.9,1005.8,7.4,0,4.4,19.9,0
108,"서울","2018-09-24",17.6,0,2.1,48.3,1008.7,11,0,1.1,19.3,0
108,"서울","2018-09-25",17.8,0,1.1,48,1009.5,10,0,2.1,19.8,0
108,"서울","2018-09-26",19.4,0,1.7,47.9,1009.8,8.4,0,5,21.8,0
108,"서울","2018-09-27",18.9,0,1.3,47.6,1008.9,10.3,0,0.9,20,0
108,"서울","2018-09-28",17.5,0,1.2,58.1,1008.5,3.5,0,6.1,18.6,0
108,"서울","2018-09-29",20.2,0,1,55.5,1003.9,10.8,0,0.4,21.9,0
108,"서울","2018-09-30",17.6,0,2.3,52.5,996.1,10.4,0,0.6,21.2,0
108,"서울","2018-10-01",15.4,0.58,2.9,55.1,997.9,7.9,0,4.5,19,0
108,"서울","2018-10-02",15.9,0,1.6,61.4,1007.1,10.8,0,0.5,19.4,0
108,"서울","2018-10-03",17.3,0,1.3,58,1011.7,10.6,0,0,19.8,0
108,"서울","2018-10-04",19.3,0,1.3,56.5,1013.5,8.9,0,6.5,20.7,0
108,"서울","2018-10-05",16.9,17.17,1.7,84.1,1008.1,0,0,9.8,17,0
108,"서울","2018-10-06",18,12.67,2.2,84,997.1,3,0,7.5,18.8,0
108,"서울","2018-10-07",16.4,0,1.7,53.5,1006.6,10.5,0,2.9,16.2,0
108,"서울","2018-10-08",14.8,0,1.1,47,1009.3,10.5,0,4.4,14.1,0
108,"서울","2018-10-09",15.3,0.42,1.1,52.5,1005.9,2.3,0,9,14.3,0
108,"서울","2018-10-10",12,2.67,2.5,61,1007.1,6.5,0,6.8,13.1,0
108,"서울","2018-10-11",9.7,0,2.1,51,1012.5,9.3,0,1.4,8.9,0
108,"서울","2018-10-12",10.9,0,1.3,54,1015.6,10.1,0,0,12.7,0
108,"서울","2018-10-13",12.5,0,1,54,1015.2,10,0,0,13.8,0
108,"서울","2018-10-14",13.2,0,1.5,60,1012.5,9.9,0,3.4,14.9,0
108,"서울","2018-10-15",15.2,0,1.4,69.9,1009.9,6.8,0,4,15.7,0
108,"서울","2018-10-16",14.5,0,1.3,55.9,1006.5,8.2,0,5.6,15.4,0
108,"서울","2018-10-17",12.4,0,1.3,53.3,1005.8,10,0,0,14.9,0
108,"서울","2018-10-18",12.7,0,1.1,59.5,1010,8.1,0,3.1,14.8,0
108,"서울","2018-10-19",13.1,0,1.4,54.3,1014.9,9.9,0,0,14.9,0
108,"서울","2018-10-20",13.4,0,1.2,53.9,1015.3,9.7,0,1.1,15.1,0
108,"서울","2018-10-21",13.4,0,1.1,49.5,1013.1,9.6,0,2.4,14.8,0
108,"서울","2018-10-22",14,0,1,50,1009.9,7.6,0,5.3,15.1,0
108,"서울","2018-10-23",12.2,3,1.1,75.1,1007.2,5.3,0,5.4,13.1,0
