"자전거번호","등록일시","고장구분","등록날짜"
"SPB-06871","2018-06-05 9:09","체인","2018-06-05"
"SPB-06871","2018-07-28 18:49","단말기","2018-07-28"
"SPB-06878","2018-09-12 8:57","안장","2018-09-12"
"SPB-06878","2018-09-12 8:57","체인","2018-09-12"
"SPB-06888","2018-05-27 13:04","기타 ","2018-05-27"
"SPB-06888","2018-06-01 3:14","타이어 ","2018-06-01"
"SPB-06897","2018-10-17 23:32","체인","2018-10-17"
"SPB-06929","2018-10-14 18:39","페달","2018-10-14"
"SPB-06929","2018-10-14 18:39","타이어 ","2018-10-14"
"SPB-06929","2018-10-14 18:39","체인","2018-10-14"
"SPB-06929","2018-10-14 18:39","안장","2018-10-14"
"SPB-06947","2018-05-27 11:45","기타 ","2018-05-27"
"SPB-06947","2018-05-27 11:45","페달","2018-05-27"
"SPB-06947","2018-05-27 11:45","체인","2018-05-27"
"SPB-06947","2018-06-05 6:34","체인","2018-06-05"
"SPB-06956","2018-06-10 20:58","기타 ","2018-06-10"
"SPB-06956","2018-06-10 20:58","안장","2018-06-10"
"SPB-06967","2018-06-12 22:28","페달","2018-06-12"
"SPB-07009","2018-06-05 17:06","기타 ","2018-06-05"
"SPB-07015","2018-06-17 7:55","안장","2018-06-17"
"SPB-07019","2018-09-25 2:48","단말기","2018-09-25"
"SPB-07032","2018-11-17 1:46","체인","2018-11-17"
"SPB-07033","2018-07-22 2:18","체인","2018-07-22"
"SPB-07056","2018-09-19 9:15","체인","2018-09-19"
"SPB-07056","2018-09-19 9:15","페달","2018-09-19"
"SPB-07060","2018-05-27 22:00","안장","2018-05-27"
"SPB-07064","2018-07-24 23:46","체인","2018-07-24"
"SPB-07070","2018-07-08 23:46","단말기","2018-07-08"
"SPB-07086","2018-05-21 8:47","페달","2018-05-21"
"SPB-07086","2018-09-11 19:53","체인","2018-09-11"
"SPB-07086","2018-09-14 19:50","체인","2018-09-14"
"SPB-07086","2018-09-14 13:58","체인","2018-09-14"
"SPB-07088","2018-08-05 22:46","기타 ","2018-08-05"
"SPB-07116","2018-10-19 8:38","페달","2018-10-19"
"SPB-07118","2018-10-12 9:17","체인","2018-10-12"
"SPB-07122","2018-08-08 7:43","체인","2018-08-08"
"SPB-07122","2018-08-08 7:43","안장","2018-08-08"
"SPB-07122","2018-09-07 21:18","체인","2018-09-07"
"SPB-07122","2018-09-07 21:18","페달","2018-09-07"
"SPB-07125","2018-06-01 18:56","기타 ","2018-06-01"
"SPB-07150","2018-10-17 19:40","안장","2018-10-17"
"SPB-07152","2018-06-03 0:52","안장","2018-06-03"
"SPB-07152","2018-06-03 0:52","체인","2018-06-03"
"SPB-07166","2018-05-27 19:51","기타 ","2018-05-27"
"SPB-07166","2018-09-14 19:54","타이어 ","2018-09-14"
"SPB-07177","2018-10-16 15:20","체인","2018-10-16"
"SPB-07189","2018-06-13 1:01","기타 ","2018-06-13"
"SPB-07222","2018-11-01 15:39","페달","2018-11-01"
"SPB-07225","2018-09-21 14:17","타이어 ","2018-09-21"
"SPB-07238","2018-10-24 23:31","체인","2018-10-24"
"SPB-07258","2018-09-26 19:42","기타 ","2018-09-26"
"SPB-07267","2018-06-01 17:56","타이어 ","2018-06-01"
"SPB-07269","2018-07-05 0:06","기타 ","2018-07-05"
"SPB-07281","2018-10-21 16:16","기타 ","2018-10-21"
"SPB-07290","2018-11-15 16:53","체인","2018-11-15"
"SPB-07290","2018-11-15 16:53","안장","2018-11-15"
"SPB-07312","2018-10-23 18:29","페달","2018-10-23"
"SPB-07318","2018-06-28 10:11","단말기","2018-06-28"
"SPB-07333","2018-09-10 18:20","단말기","2018-09-10"
"SPB-07373","2018-09-26 15:58","체인","2018-09-26"
"SPB-07382","2018-07-26 13:12","단말기","2018-07-26"
"SPB-07405","2018-06-02 20:10","잠금장치 불량","2018-06-02"
